Method, Threads, Block Size, Average Execution Time (µs)
Non-coalesced, 662464, 228, 178.934
Coalesced, 662464, 230, 166.48
Non-coalesced, 662464, 230, 191.88
Coalesced, 662464, 232, 168.231
Non-coalesced, 662464, 232, 165.754
Coalesced, 662464, 234, 162.916
Non-coalesced, 662464, 234, 154.013
Coalesced, 662464, 236, 191.969
Non-coalesced, 662464, 236, 174.604
Coalesced, 662464, 238, 192.646
Non-coalesced, 662464, 238, 154.219
Coalesced, 662464, 240, 176.499
Non-coalesced, 662464, 240, 152.635
Coalesced, 662464, 242, 191.066
Non-coalesced, 662464, 242, 161.284
Coalesced, 662464, 244, 199.596
Non-coalesced, 662464, 244, 171.275
Coalesced, 662464, 246, 176.546
Non-coalesced, 662464, 246, 164.359
Coalesced, 662464, 248, 187.832
Non-coalesced, 662464, 248, 156.088
Coalesced, 662464, 250, 171.948
Non-coalesced, 662464, 250, 188.128
Coalesced, 662464, 252, 147.497
Non-coalesced, 662464, 252, 206.636
Coalesced, 662464, 254, 181.667
Non-coalesced, 662464, 254, 163.373
Coalesced, 662464, 256, 174.761
Non-coalesced, 662464, 256, 173.723
Coalesced, 662464, 258, 172.786
Non-coalesced, 662464, 258, 191.617
Coalesced, 662464, 260, 187.784
Non-coalesced, 662464, 260, 156.081
Coalesced, 662464, 262, 188.678
Non-coalesced, 662464, 262, 165.461
Coalesced, 662464, 264, 192.865
Non-coalesced, 662464, 264, 174.972
Coalesced, 662464, 266, 194.35
Non-coalesced, 662464, 266, 179.77
Coalesced, 662464, 268, 234.753
Non-coalesced, 662464, 268, 227.374
Coalesced, 662464, 270, 202.159
Non-coalesced, 662464, 270, 229.933
Coalesced, 662464, 272, 189.129
Non-coalesced, 662464, 272, 167.691
Coalesced, 662464, 274, 250.685
Non-coalesced, 662464, 274, 293.737
Coalesced, 662464, 276, 226.523
Non-coalesced, 662464, 276, 235.426
Coalesced, 662464, 278, 204.188
Non-coalesced, 662464, 278, 170.981
Coalesced, 662464, 280, 321.34
Non-coalesced, 662464, 280, 409.973
Coalesced, 662464, 282, 346.965
Non-coalesced, 662464, 282, 298.562
Coalesced, 662464, 284, 200.61
Non-coalesced, 662464, 284, 196.934
Coalesced, 662464, 286, 171.779
Non-coalesced, 662464, 286, 176.536
Coalesced, 662464, 288, 204.456
Non-coalesced, 662464, 288, 173.988
Coalesced, 662464, 290, 179.539
Non-coalesced, 662464, 290, 174.404
Coalesced, 662464, 292, 186.518
Non-coalesced, 662464, 292, 181.483
Coalesced, 662464, 294, 238.236
Non-coalesced, 662464, 294, 284.12
Coalesced, 662464, 296, 177.214
Non-coalesced, 662464, 296, 170.985
Coalesced, 662464, 298, 156.395
Non-coalesced, 662464, 298, 192.303
Coalesced, 662464, 300, 189.282
Non-coalesced, 662464, 300, 189.184
Coalesced, 662464, 302, 255.795
Non-coalesced, 662464, 302, 226.986
Coalesced, 662464, 304, 442.554
Non-coalesced, 662464, 304, 383.936
Coalesced, 662464, 306, 401.617
Non-coalesced, 662464, 306, 210.543
Coalesced, 662464, 308, 412.084
Non-coalesced, 662464, 308, 208.486
Coalesced, 662464, 310, 207.841
Non-coalesced, 662464, 310, 180.745
Coalesced, 662464, 312, 209.486
Non-coalesced, 662464, 312, 227.624
Coalesced, 662464, 314, 246.041
Non-coalesced, 662464, 314, 202.645
Coalesced, 662464, 316, 232.649
Non-coalesced, 662464, 316, 171.759
Coalesced, 662464, 318, 173.061
Non-coalesced, 662464, 318, 173.214
Coalesced, 662464, 320, 241.558
Non-coalesced, 662464, 320, 174.546
Coalesced, 662464, 322, 248.055
Non-coalesced, 662464, 322, 194.22
Coalesced, 662464, 324, 177.494
Non-coalesced, 662464, 324, 160.991
Coalesced, 662464, 326, 203.565
Non-coalesced, 662464, 326, 183.74
Coalesced, 662464, 328, 345.898
Non-coalesced, 662464, 328, 236.41
Coalesced, 662464, 330, 231.306
Non-coalesced, 662464, 330, 255.455
Coalesced, 662464, 332, 372.094
Non-coalesced, 662464, 332, 383.47
Coalesced, 662464, 334, 250.344
Non-coalesced, 662464, 334, 413.271
Coalesced, 662464, 336, 202.817
Non-coalesced, 662464, 336, 207.677
Coalesced, 662464, 338, 215.077
Non-coalesced, 662464, 338, 220.274
Coalesced, 662464, 340, 183.722
Non-coalesced, 662464, 340, 174.455
Coalesced, 662464, 342, 190.479
Non-coalesced, 662464, 342, 208.904
Coalesced, 662464, 344, 164.181
Non-coalesced, 662464, 344, 184.683
Coalesced, 662464, 346, 158.486
Non-coalesced, 662464, 346, 202.472
Coalesced, 662464, 348, 201.423
Non-coalesced, 662464, 348, 152.815
Coalesced, 662464, 350, 225.074
Non-coalesced, 662464, 350, 187.456
Coalesced, 662464, 352, 168.097
Non-coalesced, 662464, 352, 155.318
Coalesced, 662464, 354, 169.807
Non-coalesced, 662464, 354, 175.52
Coalesced, 662464, 356, 187.171
Non-coalesced, 662464, 356, 192.653
Coalesced, 662464, 358, 175.71
Non-coalesced, 662464, 358, 183.781
Coalesced, 662464, 360, 181.247
Non-coalesced, 662464, 360, 189.515
Coalesced, 662464, 362, 199.678
Non-coalesced, 662464, 362, 176.175
Coalesced, 662464, 364, 200.562
Non-coalesced, 662464, 364, 199.728
Coalesced, 662464, 366, 346.799
Non-coalesced, 662464, 366, 222.839
Coalesced, 662464, 368, 267.722
Non-coalesced, 662464, 368, 170.003
Coalesced, 662464, 370, 189.024
Non-coalesced, 662464, 370, 218.659
Coalesced, 662464, 372, 311.816
Non-coalesced, 662464, 372, 212.098
Coalesced, 662464, 374, 222.318
Non-coalesced, 662464, 374, 222.12
Coalesced, 662464, 376, 286.168
Non-coalesced, 662464, 376, 197.503
Coalesced, 662464, 378, 181.698
Non-coalesced, 662464, 378, 242.231
Coalesced, 662464, 380, 249.902
Non-coalesced, 662464, 380, 190.112
Coalesced, 662464, 382, 171.001
Non-coalesced, 662464, 382, 235.35
Coalesced, 662464, 384, 306.967
Non-coalesced, 662464, 384, 361.455
Coalesced, 662464, 386, 285.242
Non-coalesced, 662464, 386, 345.289
Coalesced, 662464, 388, 296.994
Non-coalesced, 662464, 388, 367.063
Coalesced, 662464, 390, 394.731
Non-coalesced, 662464, 390, 360.372
Coalesced, 662464, 392, 409.527
Non-coalesced, 662464, 392, 322.138
Coalesced, 662464, 394, 399.022
Non-coalesced, 662464, 394, 286.226
Coalesced, 662464, 396, 360.915
Non-coalesced, 662464, 396, 270.994
Coalesced, 662464, 398, 369.252
Non-coalesced, 662464, 398, 413.642
Coalesced, 662464, 400, 324.333
Non-coalesced, 662464, 400, 347.036
Coalesced, 662464, 402, 166.574
Non-coalesced, 662464, 402, 178.774
Coalesced, 662464, 404, 195.928
Non-coalesced, 662464, 404, 190.945
Coalesced, 662464, 406, 190.812
Non-coalesced, 662464, 406, 169.165
Coalesced, 662464, 408, 155.111
Non-coalesced, 662464, 408, 194.21
Coalesced, 662464, 410, 196.456
Non-coalesced, 662464, 410, 199.81
Coalesced, 662464, 412, 191.904
Non-coalesced, 662464, 412, 203.593
Coalesced, 662464, 414, 188.633
Non-coalesced, 662464, 414, 183.054
Coalesced, 662464, 416, 162.264
Non-coalesced, 662464, 416, 204.791
Coalesced, 662464, 418, 196.662
Non-coalesced, 662464, 418, 199.471
Coalesced, 662464, 420, 178.201
Non-coalesced, 662464, 420, 165.121
Coalesced, 662464, 422, 162.561
Non-coalesced, 662464, 422, 218.534
Coalesced, 662464, 424, 203.525
Non-coalesced, 662464, 424, 183.024
Coalesced, 662464, 426, 165.915
Non-coalesced, 662464, 426, 195.816
Coalesced, 662464, 428, 168.411
Non-coalesced, 662464, 428, 219.879
Coalesced, 662464, 430, 164.682
Non-coalesced, 662464, 430, 193.862
Coalesced, 662464, 432, 157.279
Non-coalesced, 662464, 432, 179.763
Coalesced, 662464, 434, 175.115
Non-coalesced, 662464, 434, 157.031
Coalesced, 662464, 436, 188.79
Non-coalesced, 662464, 436, 182.841
Coalesced, 662464, 438, 185.519
Non-coalesced, 662464, 438, 172.386
Coalesced, 662464, 440, 177.112
Non-coalesced, 662464, 440, 180.784
Coalesced, 662464, 442, 221.409
Non-coalesced, 662464, 442, 181.416
Coalesced, 662464, 444, 165.28
Non-coalesced, 662464, 444, 176.479
Coalesced, 662464, 446, 155.657
Non-coalesced, 662464, 446, 171.249
Coalesced, 662464, 448, 193.711
Non-coalesced, 662464, 448, 181.5
Coalesced, 662464, 450, 181.88
Non-coalesced, 662464, 450, 158.682
Coalesced, 662464, 452, 168.557
Non-coalesced, 662464, 452, 194.862
Coalesced, 662464, 454, 183.224
Non-coalesced, 662464, 454, 212.285
Coalesced, 662464, 456, 153.026
Non-coalesced, 662464, 456, 181.436
Coalesced, 662464, 458, 167.404
Non-coalesced, 662464, 458, 175.271
Coalesced, 662464, 460, 214.901
Non-coalesced, 662464, 460, 192.438
Coalesced, 662464, 462, 162.645
Non-coalesced, 662464, 462, 154.892
Coalesced, 662464, 464, 161.44
Non-coalesced, 662464, 464, 191.84
Coalesced, 662464, 466, 156.718
Non-coalesced, 662464, 466, 192.588
Coalesced, 662464, 468, 168.942
Non-coalesced, 662464, 468, 196.45
Coalesced, 662464, 470, 167.337
Non-coalesced, 662464, 470, 177.218
Coalesced, 662464, 472, 165.174
Non-coalesced, 662464, 472, 211.182
Coalesced, 662464, 474, 176.546
Non-coalesced, 662464, 474, 153.561
Coalesced, 662464, 476, 162.428
Non-coalesced, 662464, 476, 192.202
Coalesced, 662464, 478, 219.33
Non-coalesced, 662464, 478, 181.948
Coalesced, 662464, 480, 187.998
Non-coalesced, 662464, 480, 168.372
Coalesced, 662464, 482, 165.49
Non-coalesced, 662464, 482, 163.447
Coalesced, 662464, 484, 184.723
Non-coalesced, 662464, 484, 186.4
Coalesced, 662464, 486, 180.539
Non-coalesced, 662464, 486, 180.823
Coalesced, 662464, 488, 189.75
Non-coalesced, 662464, 488, 161.02
Coalesced, 662464, 490, 202.989
Non-coalesced, 662464, 490, 170.669
Coalesced, 662464, 492, 171.127
Non-coalesced, 662464, 492, 155.249
Coalesced, 662464, 494, 174.336
Non-coalesced, 662464, 494, 172.649
Coalesced, 662464, 496, 203.623
Non-coalesced, 662464, 496, 183.619
Coalesced, 662464, 498, 155.305
Non-coalesced, 662464, 498, 204.181
Coalesced, 662464, 500, 177.137
Non-coalesced, 662464, 500, 158.259
Coalesced, 662464, 502, 143.343
Non-coalesced, 662464, 502, 215.436
Coalesced, 662464, 504, 163.269
Non-coalesced, 662464, 504, 208.381
Coalesced, 662464, 506, 178.136
Non-coalesced, 662464, 506, 174.332
Coalesced, 662464, 508, 194.114
Non-coalesced, 662464, 508, 193.44
Coalesced, 662464, 510, 163.836
Non-coalesced, 662464, 510, 182.845
Coalesced, 662464, 512, 144.598
Non-coalesced, 662464, 512, 169.092
Coalesced, 662464, 514, 178.432
Non-coalesced, 662464, 514, 201.435
Coalesced, 662464, 516, 281.245
Non-coalesced, 662464, 516, 241.486
Coalesced, 662464, 518, 293.677
Non-coalesced, 662464, 518, 245.996
Coalesced, 662464, 520, 553.971
Non-coalesced, 662464, 520, 372.129
Coalesced, 662464, 522, 404.476
Non-coalesced, 662464, 522, 271.552
Coalesced, 662464, 524, 231.953
Non-coalesced, 662464, 524, 222.672
Coalesced, 662464, 526, 317.69
Non-coalesced, 662464, 526, 289.124
Coalesced, 662464, 528, 340.935
Non-coalesced, 662464, 528, 495.521
Coalesced, 662464, 530, 376.067
Non-coalesced, 662464, 530, 323.735
Coalesced, 662464, 532, 265.905
Non-coalesced, 662464, 532, 268.809
Coalesced, 662464, 534, 520.706
Non-coalesced, 662464, 534, 370.58
Coalesced, 662464, 536, 254.929
Non-coalesced, 662464, 536, 198.713
Coalesced, 662464, 538, 367.344
Non-coalesced, 662464, 538, 269.978
Coalesced, 662464, 540, 438.176
Non-coalesced, 662464, 540, 226.357
Coalesced, 662464, 542, 422.67
Non-coalesced, 662464, 542, 267.877
Coalesced, 662464, 544, 410.635
Non-coalesced, 662464, 544, 213.299
Coalesced, 662464, 546, 265.779
Non-coalesced, 662464, 546, 177.511
Coalesced, 662464, 548, 173.104
Non-coalesced, 662464, 548, 205.173
Coalesced, 662464, 550, 301.15
Non-coalesced, 662464, 550, 246.24
Coalesced, 662464, 552, 315.232
Non-coalesced, 662464, 552, 310.79
Coalesced, 662464, 554, 184.874
Non-coalesced, 662464, 554, 182.662
Coalesced, 662464, 556, 325.391
Non-coalesced, 662464, 556, 296.002
Coalesced, 662464, 558, 221.06
Non-coalesced, 662464, 558, 222.27
Coalesced, 662464, 560, 421.095
Non-coalesced, 662464, 560, 288.934
Coalesced, 662464, 562, 196.778
Non-coalesced, 662464, 562, 184.538
Coalesced, 662464, 564, 371.142
Non-coalesced, 662464, 564, 229.713
Coalesced, 662464, 566, 280.795
Non-coalesced, 662464, 566, 222.683
Coalesced, 662464, 568, 290.468
Non-coalesced, 662464, 568, 233.478
Coalesced, 662464, 570, 206.892
Non-coalesced, 662464, 570, 181.252
Coalesced, 662464, 572, 250.58
Non-coalesced, 662464, 572, 207.507
Coalesced, 662464, 574, 182.142
Non-coalesced, 662464, 574, 208.428
Coalesced, 662464, 576, 395.082
Non-coalesced, 662464, 576, 254.872
Coalesced, 662464, 578, 403.239
Non-coalesced, 662464, 578, 245.682
Coalesced, 662464, 580, 180.316
Non-coalesced, 662464, 580, 180.544
Coalesced, 662464, 582, 187.235
Non-coalesced, 662464, 582, 177.917
Coalesced, 662464, 584, 194.679
Non-coalesced, 662464, 584, 172.207
Coalesced, 662464, 586, 200.445
Non-coalesced, 662464, 586, 183.111
Coalesced, 662464, 588, 183.658
Non-coalesced, 662464, 588, 166.674
Coalesced, 662464, 590, 207.951
Non-coalesced, 662464, 590, 216.167
Coalesced, 662464, 592, 189.037
Non-coalesced, 662464, 592, 194.659
Coalesced, 662464, 594, 281.305
Non-coalesced, 662464, 594, 281.829
Coalesced, 662464, 596, 260.337
Non-coalesced, 662464, 596, 196.611
Coalesced, 662464, 598, 210.979
Non-coalesced, 662464, 598, 163.999
Coalesced, 662464, 600, 225.177
Non-coalesced, 662464, 600, 166.329
Coalesced, 662464, 602, 208.644
Non-coalesced, 662464, 602, 189.818
Coalesced, 662464, 604, 198.779
Non-coalesced, 662464, 604, 202.96
Coalesced, 662464, 606, 269.399
Non-coalesced, 662464, 606, 246.009
Coalesced, 662464, 608, 222.794
Non-coalesced, 662464, 608, 293.761
Coalesced, 662464, 610, 338.515
Non-coalesced, 662464, 610, 243.344
Coalesced, 662464, 612, 396.677
Non-coalesced, 662464, 612, 294.941
Coalesced, 662464, 614, 276.736
Non-coalesced, 662464, 614, 226.702
Coalesced, 662464, 616, 330.235
Non-coalesced, 662464, 616, 210.422
Coalesced, 662464, 618, 154.997
Non-coalesced, 662464, 618, 202.714
Coalesced, 662464, 620, 171.343
Non-coalesced, 662464, 620, 172.054
Coalesced, 662464, 622, 301.944
Non-coalesced, 662464, 622, 243.642
Coalesced, 662464, 624, 386.792
Non-coalesced, 662464, 624, 261.448
Coalesced, 662464, 626, 272.134
Non-coalesced, 662464, 626, 235.031
Coalesced, 662464, 628, 316.858
Non-coalesced, 662464, 628, 239.872
Coalesced, 662464, 630, 200.949
Non-coalesced, 662464, 630, 186.068
Coalesced, 662464, 632, 204.243
Non-coalesced, 662464, 632, 232.942
Coalesced, 662464, 634, 217.865
Non-coalesced, 662464, 634, 226.557
Coalesced, 662464, 636, 174.458
Non-coalesced, 662464, 636, 248.647
Coalesced, 662464, 638, 204.154
Non-coalesced, 662464, 638, 180.111
Coalesced, 662464, 640, 172.172
Non-coalesced, 662464, 640, 191.848
Coalesced, 662464, 642, 191.683
Non-coalesced, 662464, 642, 170.513
Coalesced, 662464, 644, 235.374
Non-coalesced, 662464, 644, 224.872
Coalesced, 662464, 646, 200.556
Non-coalesced, 662464, 646, 190.808
Coalesced, 662464, 648, 195.054
Non-coalesced, 662464, 648, 159.687
Coalesced, 662464, 650, 165.664
Non-coalesced, 662464, 650, 189.731
Coalesced, 662464, 652, 173.875
Non-coalesced, 662464, 652, 179.89
Coalesced, 662464, 654, 189.643
Non-coalesced, 662464, 654, 165.325
Coalesced, 662464, 656, 210.724
Non-coalesced, 662464, 656, 184.457
Coalesced, 662464, 658, 164.425
Non-coalesced, 662464, 658, 177.802
Coalesced, 662464, 660, 168.866
Non-coalesced, 662464, 660, 192.454
Coalesced, 662464, 662, 173.949
Non-coalesced, 662464, 662, 180.909
Coalesced, 662464, 664, 160.442
Non-coalesced, 662464, 664, 193.589
Coalesced, 662464, 666, 176.437
Non-coalesced, 662464, 666, 174.004
Coalesced, 662464, 668, 200.479
Non-coalesced, 662464, 668, 178.169
Coalesced, 662464, 670, 186.079
Non-coalesced, 662464, 670, 154.334
Coalesced, 662464, 672, 316.283
Non-coalesced, 662464, 672, 265.625
Coalesced, 662464, 674, 483.697
Non-coalesced, 662464, 674, 322.741
Coalesced, 662464, 676, 432.471
Non-coalesced, 662464, 676, 316.672
Coalesced, 662464, 678, 350.362
Non-coalesced, 662464, 678, 335.079
Coalesced, 662464, 680, 194.672
Non-coalesced, 662464, 680, 185.743
Coalesced, 662464, 682, 220.973
Non-coalesced, 662464, 682, 200.595
Coalesced, 662464, 684, 240.911
Non-coalesced, 662464, 684, 235.824
Coalesced, 662464, 686, 305.627
Non-coalesced, 662464, 686, 304.886
Coalesced, 662464, 688, 438.174
Non-coalesced, 662464, 688, 249.461
Coalesced, 662464, 690, 225.79
Non-coalesced, 662464, 690, 268.878
Coalesced, 662464, 692, 261.437
Non-coalesced, 662464, 692, 272.44
Coalesced, 662464, 694, 251.033
Non-coalesced, 662464, 694, 396.38
Coalesced, 662464, 696, 286.101
Non-coalesced, 662464, 696, 430.567
